video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=0ZFZT0AIPYw&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW3SBwkJhwoBhyohjO8%3D,/channel/UC5WrayTqmGntbnsp6ZPzFbA,Powell Lumor,Da Nang on a Cloudy Day 🇻🇳 | American Perspective After 6 Months Living Here 🇺🇸,366,11 hours,"Today is Wednesday, January 21st, and I'm walking along the beach in Da Nang on a cloudy, colder day. The beach is noticeably ...",2026-01-21 23:15:01.920750
/watch?v=wTtJbB9EKoc&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@YeuMayBay,Yêu Máy Bay,YDL #290: Ẩm thực đường phố Đà Nẵng quá nhiều món ngon & đặc sắc - Thăm suối Sơn Trà | Yêu Máy Bay,277K,5 months,Dù có đi Đà Nẵng bao nhiêu lần thì cũng chưa ăn hết được những món ngon ở đây. Có thể là 1 quán ven đường với tuổi đời lâu ...,2026-01-21 23:15:01.922705
/watch?v=cQLNkRFtlGI&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@laistahir,Lais,3 Days in Da Nang & Hoi An Vietnam 2026 - A Travel Guide for First-Time Visitors,104K,4 months,"vietnam #danang #hoian After living and travelling across Vietnam for over a year, I'm sharing my personal 3-day itinerary for Da ...",2026-01-21 23:15:01.925324
/watch?v=OE49ojLrW0s&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@the-nomadic-journey,The Nomadic Journey,"Where to Stay in DA NANG 2025: Best Areas, Hotels & Local Tips",134K,9 months,"Looking for where to stay in Da Nang? In this video I go over the best areas to stay in the city, with hotel recommendations for ...",2026-01-21 23:15:01.927843
/watch?v=YZK0dtyOqdQ&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@SocialSamyWalks,Social Samy Walks,I Didn’t Expect This on a Night Walk in Da Nang | Walking & Talking,11K,4 weeks,Experience Da Nang nightlife through a real walking & talking night tour in one of Vietnam's most popular tourist cities. In this ...,2026-01-21 23:15:01.931527
/watch?v=PH7l638seu0&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@TravelEscapesVlogs,Travel Escapes,Why is Everyone Going to Da Nang Vietnam?! 🇻🇳 (First Impressions),688K,4 months,"Why is Everyone Going to Da Nang, Vietnam Da Nang, Vietnam is currently one of the most popular destinations in Asia for ...",2026-01-21 23:15:01.933094
/watch?v=k5MJdyDFCQI&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@the-nomadic-journey,The Nomadic Journey,"Nên Làm Gì Ở Đà Nẵng, Việt Nam 🇻🇳 | Những Điểm Đến Tuyệt Nhất Năm 2025",66K,9 months,"Bạn đang tìm kiếm hoạt động thú vị ở Đà Nẵng? Sau khi sống ở đây suốt chín tháng, mình đã khám phá từ những bức tượng nổi bật ...",2026-01-21 23:15:01.935122
/watch?v=dpzkUbaZVQ4&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@GunnerGoesGlobal,Gunner Goes Global,DA NANG Cost of Living 2026 🇻🇳 (Honest Monthly Breakdown),3.1K,1 day,"How much money do you REALLY need per month to live a basic but happy life in Da Nang, Vietnam? In this video I break down ...",2026-01-21 23:15:01.936690
/shorts/2GXG2pvC8fY,/@karenexplores,Karen Explores,"8 BEST THINGS TO DO IN DA NANG, VIETNAM 😍🌅🇻🇳 #vietnam #vietnamtravel #danang",380K,1 year,Eight best things to do when you're in Danang Vietnam One watch the sunrise from meare Beach it was such a Vibe at 6:00 a.m. ...,2026-01-21 23:15:09.403246
/shorts/KwEf4UpEoC8,/@heyfionawang,Fiona Wang,Places you must visit in Da Nang Vietnam,599K,2 years,Things to do in Vietnam part 4 - DA NANG There is soo much to see in Da Nang but here are my favourite must see places in Da ...,2026-01-21 23:15:09.405230
